Total packets: 1000000
Total volume of data received: 147258908 bytes
Average packet size: 147.259 bytes
Top Destination IPs by Frequency:
192.57.154.229: 17 packets
191.21.153.56: 16 packets
151.99.115.2: 16 packets
131.143.195.230: 16 packets
63.192.31.78: 16 packets
78.177.98.247: 16 packets
156.225.59.52: 16 packets
33.219.79.120: 16 packets
83.102.207.40: 16 packets
81.29.177.148: 16 packets
82.133.47.9: 16 packets
79.228.196.168: 16 packets
59.130.169.154: 16 packets
144.30.36.62: 16 packets
167.136.51.211: 16 packets
156.109.95.207: 16 packets
211.79.220.99: 16 packets
80.68.7.190: 16 packets
81.24.139.102: 16 packets
210.229.40.23: 16 packets
170.44.96.215: 16 packets
34.67.178.200: 16 packets
3.25.80.180: 16 packets
174.26.40.13: 16 packets
207.86.245.229: 16 packets
162.254.249.159: 16 packets
206.227.6.18: 16 packets
75.162.79.126: 16 packets
239.7.34.187: 16 packets
181.18.142.31: 16 packets
28.80.116.12: 16 packets
1.232.121.174: 16 packets
152.153.234.73: 16 packets
186.220.81.226: 16 packets
10.185.90.14: 16 packets
16.77.41.90: 16 packets
198.185.169.52: 16 packets
66.186.51.203: 16 packets
73.77.71.67: 16 packets
212.223.169.251: 16 packets
134.212.114.177: 16 packets
45.180.209.144: 16 packets
206.118.49.186: 16 packets
72.106.216.7: 16 packets
176.68.248.154: 16 packets
58.58.187.179: 16 packets
188.110.101.126: 16 packets
92.241.205.91: 16 packets
138.69.109.160: 16 packets
253.52.140.66: 16 packets
19.243.213.86: 16 packets
240.6.147.198: 16 packets
68.146.102.248: 16 packets
108.21.36.194: 16 packets
72.26.97.172: 16 packets
83.83.218.58: 16 packets
249.187.228.128: 15 packets
183.160.6.41: 15 packets
138.26.115.60: 15 packets
86.248.152.5: 15 packets
62.154.206.219: 15 packets
52.212.45.164: 15 packets
94.35.4.225: 15 packets
36.82.182.138: 15 packets
203.81.81.203: 15 packets
64.251.128.25: 15 packets
73.41.38.18: 15 packets
190.82.208.32: 15 packets
126.59.174.118: 15 packets
64.63.126.79: 15 packets
170.128.112.162: 15 packets
223.117.48.26: 15 packets
77.143.210.174: 15 packets
37.60.144.241: 15 packets
34.192.129.102: 15 packets
153.14.214.140: 15 packets
32.232.32.222: 15 packets
222.81.114.219: 15 packets
178.74.3.39: 15 packets
202.174.191.37: 15 packets
124.252.187.86: 15 packets
188.111.187.159: 15 packets
189.63.236.47: 15 packets
206.182.151.167: 15 packets
56.126.14.53: 15 packets
254.32.170.182: 15 packets
66.56.226.156: 15 packets
175.173.241.228: 15 packets
53.80.72.187: 15 packets
244.163.69.86: 15 packets
105.208.43.26: 15 packets
254.179.220.30: 15 packets
78.226.152.54: 15 packets
6.18.121.152: 15 packets
38.231.84.96: 15 packets
12.100.186.50: 15 packets
208.142.191.219: 15 packets
166.71.86.158: 15 packets
236.100.170.133: 15 packets
242.140.167.248: 15 packets
126.178.193.83: 15 packets
240.191.65.100: 15 packets
25.60.198.94: 15 packets
227.151.82.60: 15 packets
195.246.15.120: 15 packets
4.30.119.14: 15 packets
81.127.88.5: 15 packets
46.239.231.223: 15 packets
75.193.172.141: 15 packets
43.255.113.202: 15 packets
122.105.67.159: 15 packets
9.74.179.87: 15 packets
141.204.195.177: 15 packets
25.46.151.179: 15 packets
2.233.95.103: 15 packets
245.171.104.246: 15 packets
208.11.107.150: 15 packets
76.26.160.39: 15 packets
113.190.196.36: 15 packets
185.238.36.207: 15 packets
124.30.157.197: 15 packets
225.106.181.207: 15 packets
142.33.171.184: 15 packets
152.163.169.20: 15 packets
17.46.134.51: 15 packets
166.41.4.208: 15 packets
204.68.72.157: 15 packets
90.251.162.106: 15 packets
135.249.133.94: 15 packets
59.133.60.83: 15 packets
184.37.122.209: 15 packets
211.128.15.65: 15 packets
73.184.162.133: 15 packets
2.61.242.44: 15 packets
180.68.57.144: 15 packets
71.143.252.253: 15 packets
98.34.242.241: 15 packets
210.27.253.254: 15 packets
164.213.235.207: 15 packets
190.18.248.63: 15 packets
111.151.80.247: 15 packets
44.78.165.33: 15 packets
207.145.78.90: 15 packets
158.208.155.231: 15 packets
117.179.168.166: 15 packets
37.125.254.128: 15 packets
95.21.194.234: 15 packets
154.122.217.101: 15 packets
243.239.235.136: 15 packets
198.238.28.179: 15 packets
168.31.132.199: 15 packets
251.208.169.170: 15 packets
12.7.4.51: 15 packets
234.35.123.149: 15 packets
223.141.103.91: 15 packets
25.60.203.126: 15 packets
180.21.121.251: 15 packets
49.217.251.11: 15 packets
103.160.45.181: 15 packets
214.80.98.176: 15 packets
192.69.52.169: 15 packets
207.86.55.55: 15 packets
175.124.42.176: 15 packets
117.24.104.90: 15 packets
132.64.176.189: 15 packets
100.185.0.7: 15 packets
70.28.24.168: 15 packets
176.201.106.31: 15 packets
142.181.27.21: 15 packets
0.209.24.130: 15 packets
28.64.182.75: 15 packets
113.244.1.241: 15 packets
117.202.218.83: 15 packets
121.114.245.233: 15 packets
47.248.213.200: 15 packets
188.223.200.238: 15 packets
210.224.251.245: 15 packets
238.53.87.106: 15 packets
35.4.76.181: 15 packets
104.214.123.62: 15 packets
107.1.35.26: 15 packets
100.159.129.255: 15 packets
51.185.63.53: 15 packets
198.7.72.222: 15 packets
130.180.166.203: 15 packets
149.55.130.208: 15 packets
192.171.31.116: 15 packets
206.151.61.202: 15 packets
117.164.63.172: 15 packets
18.246.203.83: 15 packets
156.166.74.6: 15 packets
30.59.52.71: 15 packets
204.3.57.131: 15 packets
153.6.193.72: 15 packets
193.235.210.214: 15 packets
9.239.93.66: 15 packets
248.244.42.34: 15 packets
239.161.94.200: 15 packets
15.43.111.135: 15 packets
196.18.8.21: 15 packets
80.238.222.6: 15 packets
215.20.74.237: 15 packets
231.249.220.165: 15 packets
44.163.130.119: 15 packets
175.6.64.180: 15 packets
98.42.44.14: 15 packets
122.94.79.160: 15 packets
35.137.222.22: 15 packets
134.217.24.214: 15 packets
159.150.172.54: 15 packets
1.186.120.128: 15 packets
147.249.226.133: 15 packets
55.172.190.251: 15 packets
253.224.38.65: 15 packets
106.148.133.223: 15 packets
88.218.242.75: 15 packets
67.82.30.146: 15 packets
37.106.62.202: 15 packets
106.206.77.91: 15 packets
25.231.15.63: 15 packets
166.207.8.252: 15 packets
45.164.239.8: 15 packets
141.232.70.117: 15 packets
116.0.23.130: 15 packets
5.244.199.63: 15 packets
212.121.174.55: 15 packets
189.185.19.74: 15 packets
2.254.20.244: 15 packets
38.164.16.254: 15 packets
100.44.58.171: 15 packets
251.134.249.89: 15 packets
113.173.76.12: 15 packets
103.116.139.69: 15 packets
50.120.103.99: 15 packets
251.130.70.137: 15 packets
130.92.111.129: 15 packets
227.44.192.155: 15 packets
243.196.213.170: 15 packets
120.136.211.30: 15 packets
25.209.231.154: 15 packets
200.2.246.100: 15 packets
64.68.105.159: 15 packets
197.172.12.200: 15 packets
70.169.5.196: 15 packets
66.167.201.24: 15 packets
49.128.188.79: 15 packets
167.227.255.60: 15 packets
9.63.233.159: 15 packets
21.249.12.138: 15 packets
241.29.173.250: 15 packets
48.47.168.202: 15 packets
146.198.83.47: 15 packets
121.135.220.129: 15 packets
139.177.71.220: 15 packets
216.115.127.66: 15 packets
104.8.56.114: 15 packets
23.192.134.187: 15 packets
224.49.193.222: 15 packets
142.173.177.117: 15 packets
124.154.72.184: 15 packets
3.239.128.27: 15 packets
236.89.173.170: 15 packets
31.97.162.174: 15 packets
133.118.87.75: 15 packets
72.90.143.6: 15 packets
40.121.58.14: 15 packets
57.104.250.54: 15 packets
57.211.27.176: 15 packets
150.77.58.136: 15 packets
202.195.135.101: 15 packets
254.123.130.64: 15 packets
236.50.60.86: 15 packets
64.108.76.209: 15 packets
166.234.150.21: 15 packets
106.1.238.27: 15 packets
154.76.188.44: 15 packets
153.226.134.195: 15 packets
26.52.204.230: 15 packets
14.60.250.210: 15 packets
146.57.84.130: 15 packets
85.95.133.197: 15 packets
83.98.207.246: 15 packets
63.165.174.136: 15 packets
4.36.38.117: 15 packets
24.58.123.135: 15 packets
62.147.127.138: 15 packets
115.16.189.102: 15 packets
60.31.225.107: 15 packets
136.178.8.86: 15 packets
206.90.32.252: 15 packets
88.92.131.30: 15 packets
232.108.221.36: 15 packets
60.217.116.22: 15 packets
63.155.221.63: 15 packets
226.75.244.228: 15 packets
163.80.18.21: 15 packets
128.26.138.74: 15 packets
87.117.181.177: 15 packets
47.84.71.59: 15 packets
50.184.13.197: 15 packets
134.228.29.4: 15 packets
34.182.72.9: 15 packets
246.139.15.77: 15 packets
198.6.108.140: 15 packets
254.123.149.191: 15 packets
195.167.108.170: 15 packets
43.40.108.55: 15 packets
14.100.78.247: 15 packets
200.183.58.198: 15 packets
74.126.15.5: 15 packets
113.122.94.174: 15 packets
122.171.74.169: 15 packets
70.248.136.48: 15 packets
164.189.3.13: 15 packets
250.248.170.34: 15 packets
6.75.177.47: 15 packets
131.112.251.66: 15 packets
231.155.112.173: 15 packets
203.195.34.186: 15 packets
214.89.146.49: 15 packets
82.71.114.171: 15 packets
99.40.91.54: 15 packets
119.33.1.197: 15 packets
247.218.246.230: 15 packets
43.155.41.91: 15 packets
176.40.249.150: 15 packets
100.114.111.138: 15 packets
237.96.103.253: 15 packets
51.219.39.216: 15 packets
111.177.117.168: 15 packets
127.217.85.198: 15 packets
124.6.183.138: 15 packets
147.204.34.247: 15 packets
131.197.115.147: 15 packets
4.124.133.134: 15 packets
163.126.42.73: 15 packets
125.169.249.175: 15 packets
113.139.102.94: 15 packets
237.94.16.38: 15 packets
170.237.31.13: 15 packets
184.125.221.35: 15 packets
79.20.110.198: 15 packets
192.41.167.13: 15 packets
52.213.107.76: 15 packets
44.179.247.55: 15 packets
66.166.161.112: 15 packets
105.246.132.156: 15 packets
157.215.229.113: 15 packets
240.233.107.23: 15 packets
168.222.0.85: 15 packets
4.111.228.7: 15 packets
185.207.84.242: 15 packets
178.52.213.39: 15 packets
70.248.172.193: 15 packets
23.40.94.95: 15 packets
165.0.98.151: 15 packets
75.155.24.254: 15 packets
181.115.168.54: 15 packets
204.74.242.231: 15 packets
35.47.104.27: 15 packets
215.162.156.103: 15 packets
138.76.140.248: 15 packets
61.250.216.73: 15 packets
216.81.115.149: 15 packets
135.249.13.132: 15 packets
209.19.33.23: 15 packets
38.234.200.170: 15 packets
47.107.44.53: 15 packets
172.217.136.53: 15 packets
139.185.125.7: 15 packets
233.219.63.32: 15 packets
60.201.208.140: 15 packets
40.149.127.51: 15 packets
57.83.184.11: 15 packets
109.242.57.8: 15 packets
75.167.114.146: 15 packets
110.44.89.37: 15 packets
156.166.127.121: 15 packets
102.237.155.155: 15 packets
202.237.156.114: 15 packets
23.11.15.49: 15 packets
12.65.121.89: 15 packets
77.117.202.29: 15 packets
209.55.62.235: 15 packets
124.119.85.228: 15 packets
75.31.218.209: 15 packets
206.139.132.16: 15 packets
77.251.41.221: 15 packets
183.22.101.125: 15 packets
237.66.244.246: 15 packets
212.181.74.193: 14 packets
29.15.196.45: 14 packets
211.123.17.173: 14 packets
16.112.223.80: 14 packets
125.86.55.155: 14 packets
132.54.225.19: 14 packets
178.59.95.186: 14 packets
194.225.188.139: 14 packets
72.47.123.108: 14 packets
179.209.206.158: 14 packets
84.51.55.250: 14 packets
109.208.226.137: 14 packets
214.34.14.97: 14 packets
247.136.87.77: 14 packets
230.117.123.171: 14 packets
151.28.120.157: 14 packets
71.173.25.54: 14 packets
34.85.199.87: 14 packets
98.217.231.94: 14 packets
254.159.104.89: 14 packets
21.133.116.251: 14 packets
149.125.9.144: 14 packets
62.58.224.253: 14 packets
94.102.238.201: 14 packets
72.198.135.143: 14 packets
194.250.170.160: 14 packets
148.116.240.93: 14 packets
255.55.54.165: 14 packets
7.148.222.171: 14 packets
222.4.84.125: 14 packets
173.62.52.99: 14 packets
141.39.92.60: 14 packets
235.166.222.51: 14 packets
211.100.121.198: 14 packets
145.237.12.204: 14 packets
163.192.182.169: 14 packets
102.187.136.4: 14 packets
130.172.81.70: 14 packets
182.241.248.76: 14 packets
253.206.152.9: 14 packets
193.209.250.6: 14 packets
69.20.87.202: 14 packets
81.38.23.84: 14 packets
2.138.233.77: 14 packets
98.148.208.56: 14 packets
156.43.149.163: 14 packets
138.64.54.193: 14 packets
141.103.68.155: 14 packets
197.234.122.229: 14 packets
181.247.201.116: 14 packets
38.171.54.77: 14 packets
178.82.103.125: 14 packets
157.157.183.106: 14 packets
131.75.231.185: 14 packets
111.235.38.178: 14 packets
157.192.148.71: 14 packets
50.101.153.185: 14 packets
195.86.160.40: 14 packets
14.140.69.92: 14 packets
126.106.28.90: 14 packets
102.99.72.103: 14 packets
45.241.114.146: 14 packets
39.224.144.230: 14 packets
97.145.46.75: 14 packets
201.128.96.70: 14 packets
251.119.22.26: 14 packets
112.143.87.43: 14 packets
223.208.166.167: 14 packets
158.212.188.123: 14 packets
158.252.251.30: 14 packets
91.144.18.181: 14 packets
99.86.89.76: 14 packets
210.201.53.93: 14 packets
241.64.19.191: 14 packets
204.22.236.22: 14 packets
71.145.102.39: 14 packets
73.23.7.228: 14 packets
190.70.36.202: 14 packets
251.13.136.232: 14 packets
26.78.158.32: 14 packets
202.13.62.66: 14 packets
246.187.98.30: 14 packets
121.92.203.174: 14 packets
28.119.202.3: 14 packets
12.39.136.23: 14 packets
99.144.85.89: 14 packets
167.233.242.146: 14 packets
89.182.48.136: 14 packets
250.45.52.219: 14 packets
145.37.181.52: 14 packets
10.255.80.180: 14 packets
119.96.189.197: 14 packets
22.244.7.17: 14 packets
25.29.199.232: 14 packets
253.170.217.13: 14 packets
141.183.48.214: 14 packets
53.31.73.111: 14 packets
180.89.13.28: 14 packets
221.110.92.225: 14 packets
180.190.45.184: 14 packets
185.116.175.184: 14 packets
159.77.61.155: 14 packets
184.216.181.233: 14 packets
97.235.46.193: 14 packets
33.211.20.154: 14 packets
115.198.161.231: 14 packets
211.138.252.17: 14 packets
51.135.58.81: 14 packets
144.114.197.245: 14 packets
9.242.16.193: 14 packets
189.83.211.176: 14 packets
231.110.203.27: 14 packets
34.87.235.53: 14 packets
244.217.12.204: 14 packets
1.49.100.49: 14 packets
149.61.2.28: 14 packets
94.58.191.209: 14 packets
203.71.19.64: 14 packets
177.218.115.114: 14 packets
6.3.114.47: 14 packets
157.150.43.232: 14 packets
89.247.140.49: 14 packets
94.16.166.91: 14 packets
254.140.129.41: 14 packets
121.27.181.142: 14 packets
142.209.189.123: 14 packets
136.217.53.100: 14 packets
116.202.214.25: 14 packets
231.181.118.221: 14 packets
192.139.78.192: 14 packets
220.39.125.236: 14 packets
31.178.184.217: 14 packets
197.116.21.22: 14 packets
180.208.81.76: 14 packets
254.138.221.243: 14 packets
185.46.108.173: 14 packets
20.125.241.114: 14 packets
94.231.80.149: 14 packets
75.192.84.150: 14 packets
132.197.142.100: 14 packets
192.53.211.234: 14 packets
84.191.249.48: 14 packets
126.26.108.17: 14 packets
100.136.158.48: 14 packets
142.16.175.3: 14 packets
16.210.199.40: 14 packets
63.196.144.248: 14 packets
44.189.54.174: 14 packets
94.219.214.105: 14 packets
254.182.196.96: 14 packets
7.3.215.76: 14 packets
172.70.244.109: 14 packets
69.247.202.81: 14 packets
81.51.104.25: 14 packets
49.79.61.106: 14 packets
179.128.160.254: 14 packets
166.12.92.156: 14 packets
167.72.186.126: 14 packets
70.118.0.211: 14 packets
47.179.83.107: 14 packets
118.0.253.152: 14 packets
71.100.162.36: 14 packets
127.44.111.225: 14 packets
188.241.13.37: 14 packets
46.77.238.189: 14 packets
97.145.85.121: 14 packets
165.82.66.58: 14 packets
205.102.139.189: 14 packets
128.211.18.239: 14 packets
136.237.41.21: 14 packets
164.124.20.222: 14 packets
103.180.229.30: 14 packets
107.87.42.1: 14 packets
14.119.24.5: 14 packets
183.92.249.100: 14 packets
69.55.197.96: 14 packets
67.56.13.6: 14 packets
239.246.108.134: 14 packets
3.21.216.146: 14 packets
145.181.131.247: 14 packets
178.84.188.9: 14 packets
220.24.162.64: 14 packets
6.151.115.51: 14 packets
47.60.142.34: 14 packets
71.90.144.180: 14 packets
90.55.27.111: 14 packets
91.24.150.101: 14 packets
235.234.116.110: 14 packets
89.243.29.111: 14 packets
57.107.40.212: 14 packets
8.244.9.100: 14 packets
146.203.1.110: 14 packets
130.199.53.70: 14 packets
151.56.128.190: 14 packets
147.117.137.233: 14 packets
125.246.95.16: 14 packets
54.126.191.93: 14 packets
151.231.191.220: 14 packets
